MC DONALD'S OF HILO,HILO,255 KINOOLE STREET,,96720,HI
FULL MOON CAFÉ,HILO,51 KALAKAUA STREET,,96720,HI
MAONA,HILO,330 KAMEHAMEHA AVENUE,,96720,HI
H,KEA,7,,,HI
PUKA PUKA KITCHEN,HILO,270 KAMEHAMEHA AVENUE,,96720,HI
TEX DRIVE IN,HONOKAA,45-690 PAKALANA STREET,,96727,HI
OCEAN SUSHI,HILO,250 KEAWE STREET,,96720,HI
MORNING DEW RESTAURANT & LOUNGE,HILO,304 KUAWA STREET,,96783,HI
ROYAL SIAM RESTAURANT,HILO,70 MAMO STREET,,96720,HI
"NORI'S SAIMIN & SNACKS, INC.",HILO,"688 KINOOLE STREET., #124",,96720,HI
TRATTORIA TOSCANA,HILO,400 HUALANI STREET,,96749,HI
SOMBAT'S FRESH THAI CUISINE,HILO,88 KANOELEHUA AVENUE,,96720,HI
NEW CHIANG MAI THAI CUISINE,HILO,110 KALAKAUA STREET,,96720,HI
SUNLIGHT CAFÉ,HILO,"1263 KILAUEA AVENUE, #280B",,96720,HI
SUNRISE RESTAURANT AND LUNCH SHOP,HILO,399 E. KAWILI STREET,,96720,HI
MICHELLE'S HALE,HILO,684 KILAUEA AVENUE,,96720,HI
SODEXHO CAMPUS SERVICES-CAMPUS CENTER,HILO,299 W. KAWILI STREET,,96720,HI
MCDONALD'S OF HILO,HILO,117 ULULANI STREET,,96720,HI
YEN'S CAFÉ,HILO,"235 WAIANUENUE AVENUE, #101",,96720,HI
PESCATORE RESTAURANT,HILO,235 KEAWE STREET,,96720,HI
THE PHO CAFÉ,PAHOA,15-2929 PAHOA VILLAGE ROAD,,96749,HI
SEOUL STATION,HILO,"417 KALANIKOA STREET, #3",,96720,HI
KEAAU  MIDDLE SCHOOL,KEAAU,16-565 KEAAU-PAHOA RD.,,96749,HI
KAMEHAMEHA SCHOOLS HAWAII CAMPUS/FOOD SERVICE DEPARTMENT,KEAAU,16-714 VOLCANO ROAD,,96749,HI
